File: CPM_Data
This file contains information on the least squares
 estimation of the coregistration parameters.
This info is used in the plotcmp script.
There are 10 columns with:
Window number, position L, position P, 
 offsetL (observation), offsetP (observation), correlation,
 estimated errorL, errorP, w-test statistics for L, P.
win   posL  posP      offL      offP  corr      eL     eP  wtstL  wtstP
 481  6384  3033    -48.12    -33.75   0.49   1.13  -0.26  48.89  11.28
 486  6384  3590    -50.06    -34.38   0.41  -0.77  -0.23  24.26   7.14
 488  6384  3813    -45.94    -33.75   0.43   3.42   0.68 118.09  23.46
 530  6838  2768    -49.88    -32.94   0.59  -0.56   0.24  35.07  15.11
 531  6838  2880    -50.38    -33.94   0.41  -1.10  -0.63  34.63  19.83
 538  6838  3660    -48.12    -33.81   0.54   1.09   0.43  57.33  22.66
 542  6952  2674    -51.56    -33.31   0.41  -2.19  -0.23  69.11   7.41
 568  7179  2709    -47.94    -33.25   0.44   1.44  -0.13  51.43   4.79
 576  7179  3601    -47.75    -34.44   0.56   1.41  -0.26  79.06  14.90
 578  7292  2392    -49.38    -33.00   0.43   0.22  -0.24   7.68   8.41
 581  7292  2727    -49.44    -34.06   0.47  -0.05  -0.92   2.06  37.03
 586  7292  3284    -49.81    -34.00   0.44  -0.63  -0.21  22.40   7.46
 589  7292  3619    -49.75    -34.25   0.47  -0.61  -0.05  24.47   2.01
 591  7406  2410    -50.50    -32.62   0.45  -0.89   0.16  33.74   6.13
 599  7406  3302    -47.75    -34.25   0.48   1.42  -0.44  59.30  18.12
 612  7519  3319    -47.88    -34.31   0.45   1.29  -0.47  47.74  17.49
 619  7633  2668    -48.12    -33.69   0.46   1.36  -0.62  52.70  23.81
 631  7746  2574    -51.75    -32.88   0.42  -2.18   0.09  71.94   2.96
 632  7746  2685    -50.50    -33.00   0.50  -1.01   0.10  45.36   4.33
 637  7746  3243    -46.00    -34.44   0.43   3.20  -0.69 109.25  23.50
 644  7860  2591    -49.56    -33.75   0.45   0.03  -0.76   1.08  28.35
 662  7973  3166    -47.31    -33.81   0.54   1.93  -0.14 100.39   7.42
 673  8087  2961    -51.50    -33.06   0.44  -2.13   0.37  75.66  13.04
 675  8087  3184    -50.31    -33.94   0.58  -1.07  -0.25  63.88  14.81
 680  8087  3741    -47.81    -34.75   0.47   1.24  -0.37  50.31  14.97
 685  8200  2867    -48.12    -33.31   0.62   1.34   0.01  92.47   0.71
 686  8200  2978    -47.94    -33.56   0.52   1.44  -0.11  69.44   5.25
 687  8200  3090    -47.94    -33.62   0.41   1.37  -0.04  43.06   1.12
 698  8314  2884    -48.50    -33.00   0.56   0.97   0.34  53.98  19.23
 701  8314  3219    -48.38    -34.62   0.43   0.87  -0.88  29.65  29.90
 712  8427  3013    -48.25    -33.38   0.55   1.14   0.12  61.57   6.57
 713  8427  3125    -47.81    -33.19   0.45   1.51   0.45  55.82  16.52
 714  8427  3236    -49.06    -33.25   0.42   0.19   0.52   6.24  17.08
 724  8541  2919    -49.88    -33.44   0.56  -0.39  -0.04  21.87   2.47
 725  8541  3031    -50.06    -33.88   0.44  -0.66  -0.35  23.38  12.48
 726  8541  3142    -48.00    -33.62   0.55   1.32   0.04  71.27   2.29
 728  8541  3365    -50.00    -34.06   0.52  -0.81  -0.13  39.21   6.05
 729  8541  3477    -51.38    -33.38   0.41  -2.25   0.69  70.87  21.86
 737  8654  2937    -47.50    -33.62   0.56   2.00  -0.20 111.58  11.02
 739  8654  3160    -49.88    -33.94   0.41  -0.55  -0.25  17.32   7.86
 741  8654  3383    -49.88    -34.25   0.44  -0.69  -0.29  24.62  10.21
 743  8654  3606    -50.31    -33.44   0.43  -1.23   0.80  42.41  27.56
 748  8768  2731    -51.88    -32.88   0.56  -2.17   0.31 122.24  17.24
 751  8768  3066    -51.94    -34.19   0.46  -2.52  -0.61  97.02  23.37
 752  8768  3177    -49.94    -34.00   0.41  -0.60  -0.28  19.00   8.90
 761  8881  2749    -51.75    -32.88   0.50  -2.02   0.33  91.17  15.00
 764  8881  3083    -50.62    -34.00   0.52  -1.19  -0.39  57.53  18.85
 773  8995  2655    -51.75    -32.94   0.41  -1.88   0.17  59.75   5.35
 788  9108  2895    -49.69    -33.19   0.49  -0.04   0.21   1.61   9.00
 789  9108  3007    -47.19    -33.38   0.54   2.36   0.15 122.67   7.91
 790  9108  3118    -47.94    -33.12   0.54   1.51   0.55  78.50  28.43
 796  9108  3787    -49.19    -34.81   0.46  -0.19  -0.31   7.41  12.14
 801  9222  2913    -48.00    -33.06   0.46   1.67   0.37  64.39  14.15
 802  9222  3024    -49.94    -33.44   0.53  -0.38   0.12  19.10   6.02
 808  9222  3693    -49.94    -34.00   0.42  -0.88   0.39  29.40  13.03
 809  9222  3805    -49.50    -34.00   0.44  -0.50   0.54  18.42  19.61
 814  9335  2930    -51.94    -33.38   0.46  -2.26   0.07  87.14   2.88
 815  9335  3042    -50.38    -33.25   0.52  -0.81   0.34  39.16  16.46
 816  9335  3153    -50.38    -33.81   0.41  -0.91  -0.09  28.74   2.70
 821  9335  3711    -49.75    -34.19   0.53  -0.70   0.23  36.32  12.18
 826  9449  2836    -49.94    -33.31   0.42  -0.12   0.04   3.90   1.32
 828  9449  3059    -49.75    -33.81   0.56  -0.16  -0.19   9.20  10.79
 832  9449  3505    -46.12    -35.62   0.43   3.08  -1.45 106.12  49.92
 833  9449  3617    -50.19    -34.12   0.41  -1.07   0.19  33.98   6.14
 834  9449  3728    -49.88    -34.19   0.54  -0.83   0.27  45.30  14.48
 836  9562  2519    -48.12    -33.12   0.48   2.14  -0.13  92.53   5.82
 839  9562  2854    -47.94    -33.31   0.41   1.90   0.07  60.08   2.20
 841  9562  3077    -51.94    -33.44   0.44  -2.34   0.21  83.60   7.45
 852  9676  2871    -49.50    -33.50   0.44   0.36  -0.09  12.92   3.28
 853  9676  2983    -49.94    -33.69   0.44  -0.21  -0.15   7.39   5.25
 854  9676  3094    -50.56    -33.62   0.44  -0.95   0.06  33.81   2.08
 857  9676  3429    -48.12    -34.31   0.51   1.18  -0.22  55.68  10.22
 858  9676  3540    -49.94    -34.19   0.46  -0.73   0.04  28.65   1.73
 870  9789  3446    -52.19    -33.88   0.47  -2.89   0.25 117.11   9.95
 877  9903  2795    -51.88    -33.00   0.47  -1.84   0.34  74.84  13.64
 878  9903  2907    -50.12    -33.25   0.43  -0.22   0.22   7.60   7.58
 879  9903  3018    -50.19    -33.38   0.41  -0.42   0.22  13.36   7.10
 882  9903  3353    -49.50    -34.25   0.41  -0.09  -0.23   2.72   7.35
 884  9903  3576    -49.81    -34.50   0.48  -0.60  -0.20  25.42   8.50
 887 10016  2478    -49.94    -33.25   0.42   0.59  -0.28  20.12   9.49
 889 10016  2701    -50.50    -33.50   0.47  -0.29  -0.27  11.85  10.95
 890 10016  2813    -47.19    -33.69   0.48   2.87  -0.32 121.64  13.70
 899 10016  3816    -50.12    -34.31   0.41  -1.08   0.31  35.17  10.17
